keyword,Mask Neutral,Mask Positive,Mask Negative,Lockdown Neutral,Lockdown Positive,Lockdown Negative,Vaccine Neutral,Vaccine Positive,Vaccine Negative,Miscellaneous,conspiracy,misinformation,misc_china,misc_awareness,misc_trump,misc_other
FauciHero,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Fauci Hero,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
coronapocalypse,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
corona apocalypse,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
SARSCoV2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Pandemic,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
COVID19,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Covid_19,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Covid 19,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
COVID,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
COVIDSecondWave,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
COVID second wave,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
CovidCases,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Covid cases,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Covid19usa,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Covid19 usa,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Covidusa,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Covid usa,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
COVID20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
COVID 20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
CovidReliefBill,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Covid Relief Bill,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
COVIDReliefBill,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
COVIDRelief,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
COVID Relief,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
StimulusChecks,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Stimulus Checks,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
COVIDReliefPackage,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
COVID Relief Package,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2000StimulusCheck,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2000 Stimulus Check,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Virus,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Regeneron,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
DrFauci,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Dr Fauci,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Secondwave,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Second wave,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
longcovid,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
long covid,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
covid19pandemic,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
covid19 pandemic,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
CDCgov,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
CDC gov,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
FDA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
GlobalPandemic,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Global pandemic,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
CovidVariants,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Covid variants,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
coronaviruspandemic,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
coronavirus pandemic,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Sars-cov-2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
coronavirusoutbreak,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
coronavirus outbreak,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2019ncov,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2019 ncov,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
COVID-19,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
coronavirus,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
CoronavirusUpdate,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Coronavirus update,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
CoronaOutbreak,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Corona Outbreak,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
CDC,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Epidemic,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
corona virus,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
covd,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
coronavirusimpact,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
coronavirus impact,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
covid19 epidemic,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
covid19 pandemic,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
covid19update,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
covid19 update,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
covidlife,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
covid life,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
covidresearch,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
covid research,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
outbreak,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
pandemic2020,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
pandemic 2020,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
sars-cov-2 virus,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
centre for disease control,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
the virus,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
this virus,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
this crisis,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
SuperSpreaderEvents,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Super spreader events,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
